generation,kind,index,fitness,wins,ties,margin,sigma
0,champion,0,-1985,0,0,-1985,0.3
1,champion,-1,-2023,0,0,-2023,0.291
1,child,0,-1806,0,0,-1806,0.291
1,child,1,-1872,0,0,-1872,0.291
1,child,2,-1917,0,0,-1917,0.291
1,child,3,-1834,0,0,-1834,0.291
1,child,4,-2162,0,0,-2162,0.291
1,child,5,-1888,0,0,-1888,0.291
1,child,6,-1966,0,0,-1966,0.291
1,child,7,-1817,0,0,-1817,0.291
1,child,8,-2122,0,0,-2122,0.291
1,child,9,-1889,0,0,-1889,0.291
1,child,10,-1620,0,0,-1620,0.291
1,child,11,-1799,0,0,-1799,0.291
1,child,12,-1922,0,0,-1922,0.291
1,child,13,-1913,0,0,-1913,0.291
1,child,14,-1236,0,0,-1236,0.291
1,child,15,-1914,0,0,-1914,0.291
1,child,16,-1981,0,0,-1981,0.291
1,child,17,-1846,0,0,-1846,0.291
1,child,18,-1878,0,0,-1878,0.291
1,child,19,-1678,0,0,-1678,0.291
1,child,20,-1995,0,0,-1995,0.291
1,child,21,-1846,0,0,-1846,0.291
1,child,22,-1555,0,0,-1555,0.291
1,child,23,-1875,0,0,-1875,0.291
2,champion,-1,-1314,0,0,-1314,0.28226999999999997
2,child,0,-1237,0,0,-1237,0.28226999999999997
2,child,1,-1400,0,0,-1400,0.28226999999999997
2,child,2,-1987,0,0,-1987,0.28226999999999997
2,child,3,-1653,0,0,-1653,0.28226999999999997
2,child,4,-1664,0,0,-1664,0.28226999999999997
2,child,5,-1572,0,0,-1572,0.28226999999999997
2,child,6,-1722,0,0,-1722,0.28226999999999997
2,child,7,-1556,0,0,-1556,0.28226999999999997
2,child,8,-1822,0,0,-1822,0.28226999999999997
2,child,9,-1896,0,0,-1896,0.28226999999999997
2,child,10,-1437,0,0,-1437,0.28226999999999997
2,child,11,-1977,0,0,-1977,0.28226999999999997
2,child,12,-1247,0,0,-1247,0.28226999999999997
2,child,13,-1520,0,0,-1520,0.28226999999999997
2,child,14,-1793,0,0,-1793,0.28226999999999997
2,child,15,-1551,0,0,-1551,0.28226999999999997
2,child,16,-1490,0,0,-1490,0.28226999999999997
2,child,17,-1593,0,0,-1593,0.28226999999999997
2,child,18,-1348,0,0,-1348,0.28226999999999997
2,child,19,-1901,0,0,-1901,0.28226999999999997
2,child,20,-1682,0,0,-1682,0.28226999999999997
2,child,21,-1738,0,0,-1738,0.28226999999999997
2,child,22,-1639,0,0,-1639,0.28226999999999997
2,child,23,-1300,0,0,-1300,0.28226999999999997
3,champion,-1,-1077,0,0,-1077,0.27380189999999993
3,child,0,-1703,0,0,-1703,0.27380189999999993
3,child,1,-1603,0,0,-1603,0.27380189999999993
3,child,2,-1241,0,0,-1241,0.27380189999999993
3,child,3,-952,0,0,-952,0.27380189999999993
3,child,4,-1611,0,0,-1611,0.27380189999999993
3,child,5,-1266,0,0,-1266,0.27380189999999993
3,child,6,-1552,0,0,-1552,0.27380189999999993
3,child,7,-1704,0,0,-1704,0.27380189999999993
3,child,8,-797,0,0,-797,0.27380189999999993
3,child,9,-1443,0,0,-1443,0.27380189999999993
3,child,10,-1356,0,0,-1356,0.27380189999999993
3,child,11,-1641,0,0,-1641,0.27380189999999993
3,child,12,-1444,0,0,-1444,0.27380189999999993
3,child,13,-1628,0,0,-1628,0.27380189999999993
3,child,14,-1503,0,0,-1503,0.27380189999999993
3,child,15,-1518,0,0,-1518,0.27380189999999993
3,child,16,-1549,0,0,-1549,0.27380189999999993
3,child,17,-2039,0,0,-2039,0.27380189999999993
3,child,18,-1574,0,0,-1574,0.27380189999999993
3,child,19,-1294,0,0,-1294,0.27380189999999993
3,child,20,-1439,0,0,-1439,0.27380189999999993
3,child,21,-1078,0,0,-1078,0.27380189999999993
3,child,22,-1701,0,0,-1701,0.27380189999999993
3,child,23,-1416,0,0,-1416,0.27380189999999993
0,champion,0,-939,0,0,-939,0.3
1,champion,-1,-1080,0,0,-1080,0.291
1,child,0,-794,0,0,-794,0.291
1,child,1,-1511,0,0,-1511,0.291
1,child,2,9080,1,0,-920,0.291
1,child,3,-1322,0,0,-1322,0.291
1,child,4,-912,0,0,-912,0.291
1,child,5,-1303,0,0,-1303,0.291
1,child,6,-1446,0,0,-1446,0.291
1,child,7,-1293,0,0,-1293,0.291
1,child,8,-814,0,0,-814,0.291
1,child,9,-932,0,0,-932,0.291
1,child,10,-1369,0,0,-1369,0.291
1,child,11,-836,0,0,-836,0.291
1,child,12,-1208,0,0,-1208,0.291
1,child,13,-1204,0,0,-1204,0.291
1,child,14,-1108,0,0,-1108,0.291
1,child,15,-1227,0,0,-1227,0.291
1,child,16,-1599,0,0,-1599,0.291
1,child,17,-984,0,0,-984,0.291
1,child,18,-1113,0,0,-1113,0.291
1,child,19,-1202,0,0,-1202,0.291
1,child,20,-1142,0,0,-1142,0.291
1,child,21,-1046,0,0,-1046,0.291
1,child,22,-1310,0,0,-1310,0.291
1,child,23,-1192,0,0,-1192,0.291
2,champion,-1,-730,0,0,-730,0.28226999999999997
2,child,0,-1100,0,0,-1100,0.28226999999999997
2,child,1,-735,0,0,-735,0.28226999999999997
2,child,2,-1307,0,0,-1307,0.28226999999999997
2,child,3,-911,0,0,-911,0.28226999999999997
2,child,4,-1093,0,0,-1093,0.28226999999999997
2,child,5,-908,0,0,-908,0.28226999999999997
2,child,6,-1129,0,0,-1129,0.28226999999999997
2,child,7,-1105,0,0,-1105,0.28226999999999997
2,child,8,11482,1,1,-518,0.28226999999999997
2,child,9,-936,0,0,-936,0.28226999999999997
2,child,10,-989,0,0,-989,0.28226999999999997
2,child,11,-934,0,0,-934,0.28226999999999997
2,child,12,-1008,0,0,-1008,0.28226999999999997
2,child,13,-1017,0,0,-1017,0.28226999999999997
2,child,14,-828,0,0,-828,0.28226999999999997
2,child,15,-934,0,0,-934,0.28226999999999997
2,child,16,-650,0,0,-650,0.28226999999999997
2,child,17,-1205,0,0,-1205,0.28226999999999997
2,child,18,-716,0,0,-716,0.28226999999999997
2,child,19,-1067,0,0,-1067,0.28226999999999997
2,child,20,-1050,0,0,-1050,0.28226999999999997
2,child,21,-1099,0,0,-1099,0.28226999999999997
2,child,22,-1166,0,0,-1166,0.28226999999999997
2,child,23,-1068,0,0,-1068,0.28226999999999997
3,champion,-1,9366,1,0,-634,0.27380189999999993
3,child,0,-1090,0,0,-1090,0.27380189999999993
3,child,1,-901,0,0,-901,0.27380189999999993
3,child,2,8962,1,0,-1038,0.27380189999999993
3,child,3,-584,0,0,-584,0.27380189999999993
3,child,4,-725,0,0,-725,0.27380189999999993
3,child,5,-680,0,0,-680,0.27380189999999993
