gen,kind,idx,fit,wins,ties,margin,sigma
0,best,0,9293,1,0,-707,0.35
1,champ,-1,-667,0,0,-667,0.34125
1,child,0,9601,1,0,-399,0.34125
1,child,1,9379,1,0,-621,0.34125
1,child,2,-509,0,0,-509,0.34125
1,child,3,-684,0,0,-684,0.34125
1,child,4,-687,0,0,-687,0.34125
1,child,5,9569,1,0,-431,0.34125
1,child,6,-688,0,0,-688,0.34125
1,child,7,9475,1,0,-525,0.34125
1,child,8,-586,0,0,-586,0.34125
1,child,9,-593,0,0,-593,0.34125
1,child,10,-561,0,0,-561,0.34125
1,child,11,-470,0,0,-470,0.34125
1,child,12,9396,1,0,-604,0.34125
1,child,13,-533,0,0,-533,0.34125
1,child,14,-772,0,0,-772,0.34125
1,child,15,11419,1,1,-581,0.34125
1,child,16,-585,0,0,-585,0.34125
1,child,17,-485,0,0,-485,0.34125
1,child,18,9568,1,0,-432,0.34125
1,child,19,9555,1,0,-445,0.34125
1,child,20,-773,0,0,-773,0.34125
1,child,21,-665,0,0,-665,0.34125
1,child,22,9578,1,0,-422,0.34125
1,child,23,-607,0,0,-607,0.34125
2,champ,-1,9463,1,0,-537,0.33271875
2,child,0,-403,0,0,-403,0.33271875
2,child,1,-614,0,0,-614,0.33271875
2,child,2,-601,0,0,-601,0.33271875
2,child,3,-485,0,0,-485,0.33271875
2,child,4,-542,0,0,-542,0.33271875
2,child,5,19531,2,0,-469,0.33271875
2,child,6,9561,1,0,-439,0.33271875
2,child,7,-496,0,0,-496,0.33271875
2,child,8,9337,1,0,-663,0.33271875
2,child,9,-444,0,0,-444,0.33271875
2,child,10,1330,0,1,-670,0.33271875
2,child,11,-633,0,0,-633,0.33271875
2,child,12,9569,1,0,-431,0.33271875
2,child,13,-623,0,0,-623,0.33271875
2,child,14,-557,0,0,-557,0.33271875
2,child,15,-537,0,0,-537,0.33271875
2,child,16,-579,0,0,-579,0.33271875
2,child,17,-526,0,0,-526,0.33271875
2,child,18,9571,1,0,-429,0.33271875
2,child,19,19580,2,0,-420,0.33271875
2,child,20,-544,0,0,-544,0.33271875
2,child,21,-595,0,0,-595,0.33271875
2,child,22,1502,0,1,-498,0.33271875
2,child,23,-498,0,0,-498,0.33271875
3,champ,-1,19600,2,0,-400,0.32440078125
3,child,0,-561,0,0,-561,0.32440078125
3,child,1,-706,0,0,-706,0.32440078125
3,child,2,9569,1,0,-431,0.32440078125
3,child,3,-446,0,0,-446,0.32440078125
3,child,4,9518,1,0,-482,0.32440078125
3,child,5,13724,1,2,-276,0.32440078125
3,child,6,-542,0,0,-542,0.32440078125
3,child,7,-392,0,0,-392,0.32440078125
3,child,8,9583,1,0,-417,0.32440078125
3,child,9,-550,0,0,-550,0.32440078125
3,child,10,-547,0,0,-547,0.32440078125
3,child,11,19527,2,0,-473,0.32440078125
3,child,12,-454,0,0,-454,0.32440078125
