gen,kind,idx,fit,wins,ties,margin,sigma
0,best,0,-1551,0,0,-1551,0.3
1,champ,-1,-1249,0,0,-1249,0.291
1,child,0,-1444,0,0,-1444,0.291
1,child,1,-1506,0,0,-1506,0.291
1,child,2,-1407,0,0,-1407,0.291
1,child,3,-1713,0,0,-1713,0.291
1,child,4,-1955,0,0,-1955,0.291
1,child,5,8414,1,0,-1586,0.291
1,child,6,-1550,0,0,-1550,0.291
1,child,7,-1724,0,0,-1724,0.291
1,child,8,-1310,0,0,-1310,0.291
1,child,9,-1228,0,0,-1228,0.291
1,child,10,-1793,0,0,-1793,0.291
1,child,11,-1612,0,0,-1612,0.291
1,child,12,-1640,0,0,-1640,0.291
1,child,13,-1868,0,0,-1868,0.291
1,child,14,-1850,0,0,-1850,0.291
1,child,15,-1428,0,0,-1428,0.291
1,child,16,-1245,0,0,-1245,0.291
1,child,17,-1230,0,0,-1230,0.291
1,child,18,-1309,0,0,-1309,0.291
1,child,19,-1647,0,0,-1647,0.291
1,child,20,-1470,0,0,-1470,0.291
1,child,21,-1663,0,0,-1663,0.291
1,child,22,-1452,0,0,-1452,0.291
1,child,23,-1340,0,0,-1340,0.291
2,champ,-1,-1454,0,0,-1454,0.28226999999999997
2,child,0,-1644,0,0,-1644,0.28226999999999997
2,child,1,-1581,0,0,-1581,0.28226999999999997
2,child,2,-1587,0,0,-1587,0.28226999999999997
2,child,3,-1685,0,0,-1685,0.28226999999999997
2,child,4,-1441,0,0,-1441,0.28226999999999997
2,child,5,-1236,0,0,-1236,0.28226999999999997
2,child,6,-1438,0,0,-1438,0.28226999999999997
2,child,7,-1840,0,0,-1840,0.28226999999999997
2,child,8,-1547,0,0,-1547,0.28226999999999997
2,child,9,-1308,0,0,-1308,0.28226999999999997
2,child,10,-1762,0,0,-1762,0.28226999999999997
2,child,11,-1635,0,0,-1635,0.28226999999999997
2,child,12,-1605,0,0,-1605,0.28226999999999997
2,child,13,-1650,0,0,-1650,0.28226999999999997
2,child,14,-1586,0,0,-1586,0.28226999999999997
2,child,15,-1521,0,0,-1521,0.28226999999999997
2,child,16,-1317,0,0,-1317,0.28226999999999997
2,child,17,-1587,0,0,-1587,0.28226999999999997
2,child,18,-1717,0,0,-1717,0.28226999999999997
2,child,19,-1455,0,0,-1455,0.28226999999999997
2,child,20,-1568,0,0,-1568,0.28226999999999997
2,child,21,-1328,0,0,-1328,0.28226999999999997
2,child,22,-1687,0,0,-1687,0.28226999999999997
2,child,23,-1440,0,0,-1440,0.28226999999999997
3,champ,-1,-1457,0,0,-1457,0.27380189999999993
3,child,0,-1450,0,0,-1450,0.27380189999999993
3,child,1,-1660,0,0,-1660,0.27380189999999993
3,child,2,-1700,0,0,-1700,0.27380189999999993
3,child,3,-1387,0,0,-1387,0.27380189999999993
3,child,4,-1516,0,0,-1516,0.27380189999999993
3,child,5,-1161,0,0,-1161,0.27380189999999993
3,child,6,-1471,0,0,-1471,0.27380189999999993
3,child,7,-1470,0,0,-1470,0.27380189999999993
3,child,8,-1542,0,0,-1542,0.27380189999999993
3,child,9,-1126,0,0,-1126,0.27380189999999993
3,child,10,-1014,0,0,-1014,0.27380189999999993
3,child,11,-1318,0,0,-1318,0.27380189999999993
3,child,12,-1213,0,0,-1213,0.27380189999999993
3,child,13,-1551,0,0,-1551,0.27380189999999993
3,child,14,-1490,0,0,-1490,0.27380189999999993
3,child,15,-1360,0,0,-1360,0.27380189999999993
3,child,16,-1600,0,0,-1600,0.27380189999999993
3,child,17,-1416,0,0,-1416,0.27380189999999993
3,child,18,-1627,0,0,-1627,0.27380189999999993
3,child,19,-1425,0,0,-1425,0.27380189999999993
3,child,20,-970,0,0,-970,0.27380189999999993
3,child,21,-1692,0,0,-1692,0.27380189999999993
3,child,22,-1414,0,0,-1414,0.27380189999999993
3,child,23,-1445,0,0,-1445,0.27380189999999993
4,champ,-1,-1184,0,0,-1184,0.26558784299999993
4,child,0,-1229,0,0,-1229,0.26558784299999993
4,child,1,-1457,0,0,-1457,0.26558784299999993
4,child,2,-1755,0,0,-1755,0.26558784299999993
