generation,kind,index,fitness,wins,ties,margin,sigma
0,champion,0,-12000000,0,0,-12000000,0.3
1,champion,-1,-12000000,0,0,-12000000,0.291
1,child,0,-12000000,0,0,-12000000,0.291
1,child,1,-12000000,0,0,-12000000,0.291
1,child,2,-12000000,0,0,-12000000,0.291
1,child,3,-12000000,0,0,-12000000,0.291
1,child,4,-12000000,0,0,-12000000,0.291
1,child,5,-12000000,0,0,-12000000,0.291
1,child,6,-12000000,0,0,-12000000,0.291
1,child,7,-12000000,0,0,-12000000,0.291
1,child,8,-12000000,0,0,-12000000,0.291
1,child,9,-12000000,0,0,-12000000,0.291
1,child,10,-12000000,0,0,-12000000,0.291
1,child,11,-12000000,0,0,-12000000,0.291
1,child,12,-12000000,0,0,-12000000,0.291
1,child,13,-12000000,0,0,-12000000,0.291
1,child,14,-12000000,0,0,-12000000,0.291
1,child,15,-12000000,0,0,-12000000,0.291
1,child,16,-12000000,0,0,-12000000,0.291
1,child,17,-12000000,0,0,-12000000,0.291
1,child,18,-12000000,0,0,-12000000,0.291
1,child,19,-12000000,0,0,-12000000,0.291
1,child,20,-12000000,0,0,-12000000,0.291
1,child,21,-12000000,0,0,-12000000,0.291
1,child,22,-12000000,0,0,-12000000,0.291
1,child,23,-12000000,0,0,-12000000,0.291
2,champion,-1,-12000000,0,0,-12000000,0.28226999999999997
2,child,0,-12000000,0,0,-12000000,0.28226999999999997
2,child,1,-12000000,0,0,-12000000,0.28226999999999997
2,child,2,-12000000,0,0,-12000000,0.28226999999999997
2,child,3,-12000000,0,0,-12000000,0.28226999999999997
2,child,4,-12000000,0,0,-12000000,0.28226999999999997
2,child,5,-12000000,0,0,-12000000,0.28226999999999997
2,child,6,-12000000,0,0,-12000000,0.28226999999999997
2,child,7,-12000000,0,0,-12000000,0.28226999999999997
2,child,8,-12000000,0,0,-12000000,0.28226999999999997
2,child,9,-12000000,0,0,-12000000,0.28226999999999997
2,child,10,-12000000,0,0,-12000000,0.28226999999999997
2,child,11,-12000000,0,0,-12000000,0.28226999999999997
2,child,12,-12000000,0,0,-12000000,0.28226999999999997
2,child,13,-12000000,0,0,-12000000,0.28226999999999997
2,child,14,-12000000,0,0,-12000000,0.28226999999999997
2,child,15,-12000000,0,0,-12000000,0.28226999999999997
2,child,16,-12000000,0,0,-12000000,0.28226999999999997
2,child,17,-12000000,0,0,-12000000,0.28226999999999997
2,child,18,-12000000,0,0,-12000000,0.28226999999999997
2,child,19,-12000000,0,0,-12000000,0.28226999999999997
2,child,20,-12000000,0,0,-12000000,0.28226999999999997
2,child,21,-12000000,0,0,-12000000,0.28226999999999997
2,child,22,-12000000,0,0,-12000000,0.28226999999999997
2,child,23,-12000000,0,0,-12000000,0.28226999999999997
3,champion,-1,-12000000,0,0,-12000000,0.27380189999999993
3,child,0,-12000000,0,0,-12000000,0.27380189999999993
3,child,1,-12000000,0,0,-12000000,0.27380189999999993
3,child,2,-12000000,0,0,-12000000,0.27380189999999993
3,child,3,-12000000,0,0,-12000000,0.27380189999999993
3,child,4,-12000000,0,0,-12000000,0.27380189999999993
3,child,5,-12000000,0,0,-12000000,0.27380189999999993
3,child,6,-12000000,0,0,-12000000,0.27380189999999993
3,child,7,-12000000,0,0,-12000000,0.27380189999999993
3,child,8,-12000000,0,0,-12000000,0.27380189999999993
3,child,9,-12000000,0,0,-12000000,0.27380189999999993
3,child,10,-12000000,0,0,-12000000,0.27380189999999993
3,child,11,-12000000,0,0,-12000000,0.27380189999999993
3,child,12,-12000000,0,0,-12000000,0.27380189999999993
3,child,13,-12000000,0,0,-12000000,0.27380189999999993
3,child,14,-12000000,0,0,-12000000,0.27380189999999993
3,child,15,-12000000,0,0,-12000000,0.27380189999999993
3,child,16,-12000000,0,0,-12000000,0.27380189999999993
3,child,17,-12000000,0,0,-12000000,0.27380189999999993
3,child,18,-12000000,0,0,-12000000,0.27380189999999993
3,child,19,-12000000,0,0,-12000000,0.27380189999999993
3,child,20,-12000000,0,0,-12000000,0.27380189999999993
3,child,21,-12000000,0,0,-12000000,0.27380189999999993
3,child,22,-12000000,0,0,-12000000,0.27380189999999993
3,child,23,-12000000,0,0,-12000000,0.27380189999999993
4,champion,-1,-12000000,0,0,-12000000,0.26558784299999993
4,child,0,-12000000,0,0,-12000000,0.26558784299999993
4,child,1,-12000000,0,0,-12000000,0.26558784299999993
4,child,2,-12000000,0,0,-12000000,0.26558784299999993
4,child,3,-12000000,0,0,-12000000,0.26558784299999993
4,child,4,-12000000,0,0,-12000000,0.26558784299999993
4,child,5,-12000000,0,0,-12000000,0.26558784299999993
4,child,6,-12000000,0,0,-12000000,0.26558784299999993
4,child,7,-12000000,0,0,-12000000,0.26558784299999993
4,child,8,-12000000,0,0,-12000000,0.26558784299999993
4,child,9,-12000000,0,0,-12000000,0.26558784299999993
4,child,10,-12000000,0,0,-12000000,0.26558784299999993
4,child,11,-12000000,0,0,-12000000,0.26558784299999993
4,child,12,-12000000,0,0,-12000000,0.26558784299999993
4,child,13,-12000000,0,0,-12000000,0.26558784299999993
